# catalog in Van Dan Wel
#\tablehead{
#\colhead{EELG2011}       \colhead{RA (J2000)}       \colhead{DEC (J2000)}       \colhead{H}       \colhead{$EW_{\rm{[OIII]},5007}$}       \colhead{$\beta_{2500}$}       \colhead{$\log{(M)}$}  
#                     (deg)         (deg)                (AB)                ($\rm{\AA}$)                                              ($\msol$)        
#}
#\startdata
#  0       1	      	2               3			                   4		                  5		   	                  6			       
UDS2       34.440769       -5.262566            25.74             0.09             1081              147            -1.41             0.17             7.99             0.20   
UDS3       34.482173       -5.261399            25.28             0.08              507               95            -1.88             0.24             8.23             0.20   
UDS4       34.268657       -5.260064            25.44             0.10              614               83            -1.53             0.14             8.18             0.19   
UDS5       34.426483       -5.255770            25.69             0.11              701               95            -1.66             0.10             7.99             0.20   
UDS6       34.428569       -5.255318            25.10             0.07              731               86            -2.12             0.13             8.04             0.18   
UDS7       34.325676       -5.251743            24.32             0.04              656               43            -1.59             0.05             8.58             0.17   
UDS8       34.314014       -5.251047            26.44             0.17              728              153            -1.39             0.20             7.77             0.24   
UDS9       34.382587       -5.244620            25.94             0.09              478               64            -1.82             0.14             8.03             0.19   
UDS10       34.263534       -5.239433            25.48             0.07              541               64            -1.84             0.14             8.13             0.18   
UDS11       34.311279       -5.238957            26.36             0.10              735               94            -2.43             0.12             7.42             0.19   
UDS12       34.473888       -5.234232            24.15             0.03              713               42            -1.72             0.05             8.57             0.16   
UDS13       34.318141       -5.232299            25.35             0.07              716               68            -2.12             0.08             7.95             0.18   
UDS14       34.481567       -5.222499            25.69             0.11              602               96            -2.30             0.15             7.81             0.20   
UDS15       34.371166       -5.214803            25.45             0.09              843              111            -1.35             0.15             8.14             0.19   
UDS16       34.482921       -5.214187            25.39             0.08              662               87            -1.80             0.15             8.07             0.19   
UDS17       34.247516       -5.205330            25.95             0.10              469               63            -2.22             0.13             7.89             0.19   
UDS18       34.315448       -5.200902            25.83             0.13              739              136            -1.87             0.17             7.84             0.21   
UDS19       34.298866       -5.191800            26.25             0.15              543              106            -1.94             0.17             7.79             0.23   
UDS20       34.232082       -5.190388            25.16             0.06              648               55            -2.20             0.06             8.03             0.17   
UDS21       34.308940       -5.190090            25.15             0.07              609               66            -2.28             0.11             8.03             0.18   
UDS22       34.416740       -5.180443            26.34             0.19             1070              307            -1.72             0.31             7.64             0.28   
UDS23       34.387023       -5.177240            25.59             0.07              591               74            -2.15             0.14             7.91             0.18   
UDS24       34.252845       -5.176362            26.02             0.13              779              140            -1.40             0.19             7.91             0.22   
UDS25       34.402145       -5.175352            24.47             0.05              507               39            -2.11             0.06             8.48             0.17   
UDS26       34.459190       -5.174448            25.34             0.08              552               59            -2.29             0.09             8.01             0.18   
UDS27       34.284194       -5.164084            26.40             0.17              576              139            -1.05             0.30             8.01             0.26   
UDS28       34.500236       -5.155595            25.89             0.14              519              100            -1.77             0.21             8.01             0.22   
UDS29       34.263267       -5.152174            26.35             0.13             1003              150            -1.90             0.11             7.57             0.21   
UDS30       34.477771       -5.147521            25.66             0.14              533              103            -0.65             0.21             8.50             0.22   
UDS31       34.296325       -5.144416            25.95             0.12              546               88            -2.17             0.14             7.81             0.20   
UDS32       34.419242       -5.142892            25.83             0.12              721              138            -1.69             0.21             7.91             0.22   
UDS33       34.246810       -5.139120            26.06             0.11              553               85            -1.54             0.19             7.99             0.20   
UDS34       34.371933       -5.137272            24.83             0.05              586               50            -2.73             0.08             8.01             0.17   
UDS35       34.314693       -5.133675            26.42             0.21             1125              315            -1.20             0.28             7.80             0.28   
UDS36       34.261756       -5.134672            25.32             0.08              658               76            -2.16             0.12             7.97             0.18   
UDS37       34.380569       -5.268105            26.54             0.22              832              249            -1.34             0.28             7.71             0.29   
UDS38       34.441444       -5.215963            26.60             0.19              912              208            -2.14             0.14             7.38             0.25   
UDS39       34.334854       -5.177163            26.99             0.18              594              145            -2.39             0.24             7.26             0.26   
UDS40       34.438095       -5.160070            26.86             0.17              677              157            -2.29             0.21             7.30             0.25   
